"species","Estimate","SE","z","P(>|z|)"
"BD",-1.0800740218887,0.737287409831514,-1.46492942573849,0.142940173574423
"BD",0.504993322268005,0.138762269171334,3.63926970410433,0.00027341232824237
"BD",0.463535451702803,0.239147277498536,1.93828446031814,0.0525885272237055
"BD",-0.00383566161121743,0.012267543921712,-0.312667444738371,0.754533331627187
"BD",-2.41198560717686,0.363064341084519,-6.64341091711721,3.0650576127672e-11
"BD",1.91160646661679,0.304269686288646,6.28260570395218,3.32944740365126e-10
"BD",0.958009914026613,0.12827373190638,7.46848087904557,8.11259014728068e-14
"BD",-8.86159206179454,27.104307883921,-0.326944045195541,0.743710206813665
"BWT",-0.941107515206776,0.571322242583651,-1.647244663451,0.099507766895913
"BWT",0.301801651960198,0.164489779108677,1.83477449842522,0.0665391086435161
"BWT",0.283978623314826,0.211252227677133,1.34426333126694,0.178863248645538
"BWT",0.00791962502548366,0.00455632974346995,1.73815888475454,0.0821828215250162
"BWT",-1.54322547499661,0.229991572893137,-6.70992182706475,1.94728706168679e-11
"BWT",1.5099390799073,0.3367918084938,4.4833010834202,7.34971136963242e-06
"BWT",0.692275869536451,0.140349007616448,4.93253127537841,8.11707775615516e-07
"BWT",-10.8609593055508,61.9908352163368,-0.175202661290947,0.860920393269742
"CK",-1.20432825795757,0.853578826183057,-1.41091627511774,0.158269302665449
"CK",-1.30653981759092,0.357628129739111,-3.65334745492206,0.000258843591382902
"CK",0.248328312520531,0.258159507632094,0.961918136574798,0.336090727377959
"CK",-0.0105106127618241,0.0148631530159667,-0.707159022754664,0.479467660235505
"CK",-3.29265048708779,0.457421617349438,-7.19828351394341,6.0975259326501e-13
"CK",3.07969136275689,0.507336602993213,6.07031179021413,1.27662152026224e-09
"CK",0.943560581033071,0.125487350271413,7.51916889624547,5.51255351174467e-14
"CK",-10.2048583292898,74.8318327541626,-0.136370551858789,0.891528352382719
"Common_Kingfisher",-1.32410509427788,1.22735261417021,-1.07883022286394,0.280663419189659
"Common_Kingfisher",-1.48063001120165,0.384036892316728,-3.85543691458822,0.00011552311952681
"Common_Kingfisher",0.558943817306085,0.356494675018335,1.56788826446661,0.116907211051763
"Common_Kingfisher",-0.0225850469429233,0.0233163848585691,-0.968634163482809,0.332727751560546
"Common_Kingfisher",-12.12177189372,83.0556791493992,-0.145947538059565,0.883962803398448
"Common_Kingfisher",2.20007668237262,0.548620643273584,4.0101966802505,6.06681909793533e-05
"Common_Kingfisher",-1.02317025245688,0.245961998000598,-4.15987128407694,3.18426995572369e-05
"Common_Kingfisher",-1.57541672654063,0.982387841438153,-1.60366065222705,0.10878887357678
"GW",-0.780181885622273,0.670043706793984,-1.16437461871745,0.244272228849549
"GW",0.730905667321054,0.156398090182772,4.67336696034393,2.9630166653977e-06
"GW",0.175853315257745,0.228798075975413,0.768596127865351,0.442133104897697
"GW",-0.00178868527783638,0.0100607299740311,-0.177788816761146,0.858888830360396
"GW",-2.22493556127198,0.282604617791515,-7.87296251087228,3.46340460513294e-15
"GW",1.92800769675567,0.320921862130346,6.00771690640567,1.88153996537599e-09
"GW",0.971864423286696,0.129850349370121,7.4844960217745,7.18222096289203e-14
"GW",-10.2905315085013,52.645122620476,-0.195469798459524,0.845025178961457
"LF",-1.41795931696079,1.29953496982482,-1.0911282496322,0.275216453951864
"LF",0.774961417131644,0.468276213847683,1.65492372709693,0.0979399706049751
"LF",0.135880265292308,0.472149386266584,0.287790833250364,0.773506854664982
"LF",-0.00391213589291092,0.0270346560575271,-0.144708180662121,0.884941279915632
"LF",-16.6075861040226,414.536710509296,-0.0400630045132039,0.9680428962295
"LF",8.53622125472535,20.8628090921056,0.409159726144233,0.682422447745393
"LF",-0.926580528480776,0.298381463579394,-3.1053555316925,0.00190050434862944
"LF",-0.403419088399496,1.35604583052259,-0.297496647472473,0.766087367131067
"PWR",-0.230437350433016,0.630779082630412,-0.36532180089433,0.714871206604901
"PWR",0.674979344465356,0.127513572900199,5.29339213946772,1.20068071270078e-07
"PWR",0.176724026370535,0.197971221946948,0.892675332467735,0.372031064033648
"PWR",-0.0102493254769753,0.0133178511557526,-0.769593033974414,0.441541338484149
"PWR",-2.49188912384233,0.318581311583076,-7.82183082698659,5.20605434437822e-15
"PWR",2.05801136445128,0.253965464087858,8.10350876581915,5.33963779405602e-16
"PWR",1.86993918300904,0.135822048398617,13.7675672326856,3.99438785192123e-43
"PWR",-10.6988622406137,62.5120817949922,-0.171148711311528,0.864106834790243
"SF",2.25468366829438,2.27077770938144,0.992912542244636,0.320752577024471
"SF",0.0384288110446054,0.451722324448955,0.0850717552901195,0.932204344897921
"SF",-0.583164395802696,0.728594975605114,-0.800395851369088,0.423481483888741
"SF",-0.0767993887630312,0.0472011418703933,-1.62706633186777,0.10372301067437
"SF",-12.627929227422,51.2318753174901,-0.246485789348238,0.805306203622513
"SF",3.50877600378741,1.19328069841549,2.94044478256169,0.00327741410482724
"SF",0.266044979201711,0.183391361345017,1.45069526312745,0.146864735067904
"SF",0.441222794668997,0.68250160811317,0.646478761989722,0.517969346960485
"WCR",-1.1116005255763,0.847227548870022,-1.3120448302925,0.189505008912453
"WCR",0.722734527493641,0.155779213979933,4.63947987044499,3.49287153785204e-06
"WCR",0.367465139564522,0.268993426202823,1.36607479503031,0.171915488507871
"WCR",-0.00543080920693933,0.0148973822247925,-0.364547886668388,0.715448921770352
"WCR",-3.14865417232163,0.781455852983316,-4.02921567520572,5.5963257161891e-05
"WCR",2.01615491616246,0.421487156516312,4.78343144029925,1.72327687276253e-06
"WCR",-0.162943775408855,0.209699967475099,-0.77703290739997,0.437139355661475
"WCR",-11.3358459702914,83.0436795536833,-0.136504620595037,0.891422372036418
"White browed Wagtail",-0.214319837942894,0.665245164937614,-0.322166697691058,0.747326411978923
"White browed Wagtail",-1.41366058358144,0.278087279802166,-5.08351401253278,3.70515230714371e-07
"White browed Wagtail",0.112084697134281,0.172601294878347,0.649385030473155,0.516089537309356
"White browed Wagtail",0.00948840833479522,0.00299337729399007,3.16980033016403,0.00152543722599878
"White browed Wagtail",-12.8717438975976,121.575585123996,-0.105874414541946,0.915681994187776
"White browed Wagtail",2.37755506425287,0.476008983294558,4.99476931674127,5.89061357476735e-07
"White browed Wagtail",-1.2331940076724,0.250489360306533,-4.92313927491088,8.51667931041947e-07
"White browed Wagtail",-2.28481964535894,1.27363610644884,-1.79393441642409,0.0728236373745599
"White Wagtail",-0.545576002149155,0.927225625106698,-0.588396165266004,0.556266411087253
"White Wagtail",1.70603627987127,0.285252769299379,5.98078779063752,2.22061016107599e-09
"White Wagtail",-0.489880222403917,0.297766330442806,-1.645183394897,0.0999319967895769
"White Wagtail",-0.0206865344493892,0.0265386741882794,-0.779486356501004,0.435693271460988
"White Wagtail",-19.1035828277793,1518.93778826039,-0.0125769356555795,0.989965321765313
"White Wagtail",2.13953569455658,0.546293379927428,3.91645912831821,8.98590416755411e-05
"White Wagtail",-0.74658084682134,0.317509766226261,-2.35136341062756,0.0187047555582601
"White Wagtail",-11.5254645597401,146.516809831228,-0.0786630870069874,0.937300606763359
"WTK",-0.824940145988013,0.611900591736592,-1.3481603991374,0.177606798486584
"WTK",-1.40850366367893,0.384869369634604,-3.65969280698062,0.000252517784920012
"WTK",0.00799042481411039,0.195938482839044,0.0407802729628882,0.967471066169776
"WTK",0.00678914654958364,0.00418872179606945,1.62081581926838,0.105057144791878
"WTK",-17.2164019228422,783.948501254566,-0.0219611388953363,0.98247895472464
"WTK",2.20574776910451,0.727845589618492,3.0305160882553,0.00244136180155325
"WTK",-1.75421299281497,0.325762021082758,-5.38495244775425,7.24638033944469e-08
"WTK",-9.88782571884399,75.0176429684703,-0.131806670105588,0.895137210604861
